source_file,frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
data/playground_someip_only.pcapng,"134","12.041137000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"135","12.046613000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"136","12.052385000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"137","12.057799000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"138","12.063628000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"139","12.069230000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"140","12.075057000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"141","12.080408000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"142","12.086149000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"143","12.091512000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"144","12.097442000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"145","12.102836000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"146","12.108450000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"147","12.605209000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x0000800a","0x00000000","0x00000284","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"148","14.002566000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"149","14.008394000","192.168.40.134","192.168.40.135","31000","46897","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"150","14.014357000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"151","14.020192000","192.168.40.134","192.168.40.135","31000","46897","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"152","14.025623000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"153","14.031696000","192.168.40.134","192.168.40.135","31000","46897","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"154","14.037019000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"155","14.042941000","192.168.40.134","192.168.40.135","31000","46897","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"156","14.048690000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"157","14.054543000","192.168.40.134","192.168.40.135","31000","46897","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"158","14.060461000","192.168.40.135","192.168.40.134","46897","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
